"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN","BreakDancer_SVLEN","CNVKit_SVLEN","Pindel_SVLEN","SvABA_SVLEN"
"0",0,0,1,0,0,0,0,0
"50",154,110,78,17,47,0,551650,0
"100",161,161,123,57,21,0,58743,30
"500",140,95,79,71,904,7,880,106
"1000",126,86,83,82,75,50,16,63
"2000",133,91,117,75,62,104,96,76
"5000",126,84,90,70,100,277,133,66
"10000",154,107,136,82,104,181,124,80
"15000",126,87,106,67,100,125,139,80
"100000",133,86,115,78,99,307,123,72
"1000000",147,102,114,84,109,257,21,81
">1000000",0,55,35,46,86,45,33,59
"NO_SVLEN",800,770,670,728,0,0,0,574
