"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",20,17,4,0.80952380952381,0.2,73,64,0,1,0,20,65,4,0.942028985507246,0.2
"100",42,71,4,0.946666666666667,0.0952380952380952,102,120,0,1,0,61,101,4,0.961904761904762,0.0655737704918033
"500",75,109,0,1,0,78,97,0,1,0,71,108,2,0.981818181818182,0.028169014084507
"1000",84,93,1,0.98936170212766,0.0119047619047619,83,102,0,1,0,82,96,2,0.979591836734694,0.024390243902439
"2000",84,104,0,1,0,92,108,0,1,0,75,107,2,0.981651376146789,0.0266666666666667
"5000",79,92,0,1,0,78,102,0,1,0,70,101,1,0.990196078431373,0.0142857142857143
"10000",100,123,0,1,0,112,129,0,1,0,82,125,2,0.984251968503937,0.024390243902439
"15000",84,103,0,1,0,85,101,0,1,0,67,99,2,0.98019801980198,0.0298507462686567
"100000",80,100,0,1,0,94,104,0,1,0,78,100,0,1,0
"1000000",94,109,2,0.981981981981982,0.0212765957446809,99,117,2,0.983193277310924,0.0202020202020202,84,115,4,0.966386554621849,0.0476190476190476
">1000000",52,0,29,0,0.557692307692308,34,0,33,0,0.970588235294118,49,0,41,0,0.836734693877551
"NO_SVLEN",620,566,2,0.996478873239437,0.0032258064516129,647,647,0,1,0,741,702,39,0.947368421052632,0.0526315789473684
