"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",7,6,2,0.75,0.285714285714286,24,20,0,1,0,8,2,7,0.222222222222222,0.875
"100",15,25,3,0.892857142857143,0.2,42,59,0,1,0,7,48,0,1,0
"500",28,62,0,1,0,73,94,0,1,0,59,87,1,0.988636363636364,0.0169491525423729
"1000",57,63,4,0.940298507462687,0.0701754385964912,72,79,1,0.9875,0.0138888888888889,71,87,3,0.966666666666667,0.0422535211267606
"2000",65,75,7,0.914634146341463,0.107692307692308,81,94,0,1,0,71,99,4,0.961165048543689,0.0563380281690141
"5000",68,77,5,0.939024390243902,0.0735294117647059,62,80,1,0.987654320987654,0.0161290322580645,70,83,5,0.943181818181818,0.0714285714285714
"10000",87,94,9,0.912621359223301,0.103448275862069,92,99,0,1,0,70,111,7,0.940677966101695,0.1
"15000",87,89,12,0.881188118811881,0.137931034482759,81,89,1,0.988888888888889,0.0123456790123457,70,88,4,0.956521739130435,0.0571428571428571
"100000",74,89,6,0.936842105263158,0.0810810810810811,76,92,0,1,0,77,90,5,0.947368421052632,0.0649350649350649
"1000000",75,90,5,0.947368421052632,0.0666666666666667,83,101,3,0.971153846153846,0.036144578313253,71,106,4,0.963636363636364,0.0563380281690141
">1000000",58,0,38,0,0.655172413793103,33,0,29,0,0.878787878787879,51,0,35,0,0.686274509803922
"NO_SVLEN",583,534,18,0.967391304347826,0.0308747855917667,576,571,5,0.991319444444444,0.00868055555555556,606,568,38,0.937293729372937,0.0627062706270627
