"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR","BreakDancer_SVLEN","BreakDancer_TP_SVLEN","BreakDancer_FP_SVLEN","BreakDancer_SVLEN_Precision","BreakDancer_SVLEN_FDR","CNVKit_SVLEN","CNVKit_TP_SVLEN","CNVKit_FP_SVLEN","CNVKit_SVLEN_Precision","CNVKit_SVLEN_FDR","Pindel_SVLEN","Pindel_TP_SVLEN","Pindel_FP_SVLEN","Pindel_SVLEN_Precision","Pindel_SVLEN_FDR","SvABA_SVLEN","SvABA_TP_SVLEN","SvABA_FP_SVLEN","SvABA_SVLEN_Precision","SvABA_SVLEN_FDR"
"0",0,0,0,NA,NA,1,0,1,0,1,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",110,98,27,0.784,0.245454545454545,78,58,11,0.840579710144927,0.141025641025641,17,65,1,0.984848484848485,0.0588235294117647,47,0,47,0,1,0,0,0,NA,NA,551650,110,551538,0.000199402517547422,0.999796972718209,0,0,0,NA,NA
"100",161,150,36,0.806451612903226,0.22360248447205,123,117,25,0.823943661971831,0.203252032520325,57,101,0,1,0,21,0,21,0,1,0,0,0,NA,NA,58743,111,58645,0.00188916876574307,0.998331716119367,30,21,8,0.724137931034483,0.266666666666667
"500",95,115,0,1,0,79,88,12,0.88,0.151898734177215,71,108,2,0.981818181818182,0.028169014084507,904,0,904,0,1,7,3,5,0.375,0.714285714285714,880,18,860,0.020501138952164,0.977272727272727,106,41,56,0.422680412371134,0.528301886792453
"1000",86,118,1,0.991596638655462,0.0116279069767442,83,102,0,1,0,82,96,2,0.979591836734694,0.024390243902439,75,0,75,0,1,50,10,40,0.2,0.8,16,18,0,1,0,63,92,12,0.884615384615385,0.19047619047619
"2000",91,125,0,1,0,117,108,25,0.81203007518797,0.213675213675214,75,107,2,0.981651376146789,0.0266666666666667,62,0,62,0,1,104,22,82,0.211538461538462,0.788461538461538,96,57,37,0.606382978723404,0.385416666666667,76,101,5,0.952830188679245,0.0657894736842105
"5000",84,113,0,1,0,90,102,12,0.894736842105263,0.133333333333333,70,101,1,0.990196078431373,0.0142857142857143,100,0,100,0,1,277,27,249,0.0978260869565217,0.898916967509025,133,66,64,0.507692307692308,0.481203007518797,66,91,4,0.957894736842105,0.0606060606060606
"10000",107,143,0,1,0,136,129,24,0.843137254901961,0.176470588235294,82,125,2,0.984251968503937,0.024390243902439,104,0,104,0,1,181,37,159,0.188775510204082,0.878453038674033,124,85,49,0.634328358208955,0.395161290322581,80,117,4,0.966942148760331,0.05
"15000",87,116,0,1,0,106,101,21,0.827868852459016,0.19811320754717,67,99,2,0.98019801980198,0.0298507462686567,100,0,100,0,1,125,32,82,0.280701754385965,0.656,139,68,64,0.515151515151515,0.460431654676259,80,86,10,0.895833333333333,0.125
"100000",86,120,0,1,0,115,104,21,0.832,0.182608695652174,78,100,0,1,0,99,0,99,0,1,307,23,282,0.0754098360655738,0.9185667752443,123,66,55,0.545454545454545,0.447154471544715,72,91,7,0.928571428571429,0.0972222222222222
"1000000",102,131,2,0.984962406015038,0.0196078431372549,114,117,17,0.873134328358209,0.149122807017544,84,115,4,0.966386554621849,0.0476190476190476,109,0,109,0,1,257,13,244,0.0505836575875486,0.949416342412451,21,12,6,0.666666666666667,0.285714285714286,81,103,8,0.927927927927928,0.0987654320987654
">1000000",55,0,32,0,0.581818181818182,35,0,34,0,0.971428571428571,46,0,38,0,0.826086956521739,86,0,86,0,1,45,0,43,0,0.955555555555556,33,0,23,0,0.696969696969697,59,0,20,0,0.338983050847458
"NO_SVLEN",770,652,12,0.981927710843373,0.0155844155844156,670,647,23,0.965671641791045,0.0343283582089552,728,702,26,0.964285714285714,0.0357142857142857,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,574,456,123,0.787564766839378,0.214285714285714
