"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",3,4,0,1,0,2,2,0,1,0,2,5,0,1,0
"100",2,5,0,1,0,0,2,0,NA,NA,0,2,0,NA,NA
"500",1,5,0,1,0,3,5,2,0.714285714285714,0.666666666666667,1,5,1,0.833333333333333,1
"1000",1,3,0,1,0,1,4,0,1,0,1,2,0,1,0
"2000",2,2,0,1,0,3,1,0,1,0,1,1,0,1,0
"5000",1,3,0,1,0,4,4,0,1,0,4,3,1,0.75,0.25
"10000",4,2,0,1,0,2,2,0,1,0,2,1,1,0.5,0.5
"15000",4,12,0,1,0,4,12,0,1,0,4,11,1,0.916666666666667,0.25
"100000",1,5,0,1,0,5,6,0,1,0,2,5,0,1,0
"1000000",10,9,0,1,0,7,8,0,1,0,9,7,2,0.777777777777778,0.222222222222222
">1000000",5,0,2,0,0.4,2,0,2,0,1,2,0,2,0,1
"NO_SVLEN",32,36,0,1,0,30,34,1,0.971428571428571,0.0333333333333333,37,34,8,0.80952380952381,0.216216216216216
