"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",86,0.558441558441558,64,0.415584415584416,65,0.422077922077922
"100",138,0.857142857142857,118,0.732919254658385,101,0.627329192546584
"500",115,0.821428571428571,91,0.65,108,0.771428571428571
"1000",118,0.936507936507937,102,0.80952380952381,96,0.761904761904762
"2000",125,0.93984962406015,108,0.81203007518797,107,0.804511278195489
"5000",113,0.896825396825397,102,0.80952380952381,101,0.801587301587302
"10000",143,0.928571428571429,129,0.837662337662338,125,0.811688311688312
"15000",116,0.920634920634921,101,0.801587301587302,99,0.785714285714286
"100000",119,0.894736842105263,104,0.781954887218045,100,0.75187969924812
"1000000",131,0.891156462585034,117,0.795918367346939,115,0.782312925170068
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",650,0.8125,647,0.80875,702,0.8775
