"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",34,0.220779220779221,55,0.357142857142857,11,0.0714285714285714
"100",100,0.62111801242236,109,0.677018633540373,79,0.490683229813665
"500",112,0.8,99,0.707142857142857,103,0.735714285714286
"1000",106,0.841269841269841,99,0.785714285714286,94,0.746031746031746
"2000",116,0.87218045112782,107,0.804511278195489,104,0.781954887218045
"5000",109,0.865079365079365,100,0.793650793650794,93,0.738095238095238
"10000",135,0.876623376623377,126,0.818181818181818,125,0.811688311688312
"15000",109,0.865079365079365,99,0.785714285714286,94,0.746031746031746
"100000",111,0.834586466165414,101,0.759398496240602,99,0.744360902255639
"1000000",121,0.82312925170068,114,0.775510204081633,112,0.761904761904762
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",638,0.7975,660,0.825,640,0.8
