"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity","BreakDancer_TP_SVLEN","BreakDancer_SVLEN_Sensitivity","CNVKit_TP_SVLEN","CNVKit_SVLEN_Sensitivity","Pindel_TP_SVLEN","Pindel_SVLEN_Sensitivity","SvABA_TP_SVLEN","SvABA_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"50",98,0.636363636363636,58,0.376623376623377,65,0.422077922077922,0,0,0,0,110,0.714285714285714,0,0
"100",150,0.93167701863354,117,0.726708074534162,101,0.627329192546584,0,0,0,0,111,0.68944099378882,21,0.130434782608696
"500",115,0.821428571428571,88,0.628571428571429,108,0.771428571428571,0,0,3,0.0214285714285714,18,0.128571428571429,41,0.292857142857143
"1000",118,0.936507936507937,102,0.80952380952381,96,0.761904761904762,0,0,10,0.0793650793650794,18,0.142857142857143,92,0.73015873015873
"2000",125,0.93984962406015,108,0.81203007518797,107,0.804511278195489,0,0,22,0.165413533834586,57,0.428571428571429,101,0.759398496240602
"5000",113,0.896825396825397,102,0.80952380952381,101,0.801587301587302,0,0,27,0.214285714285714,66,0.523809523809524,91,0.722222222222222
"10000",143,0.928571428571429,129,0.837662337662338,125,0.811688311688312,0,0,37,0.24025974025974,85,0.551948051948052,117,0.75974025974026
"15000",116,0.920634920634921,101,0.801587301587302,99,0.785714285714286,0,0,32,0.253968253968254,68,0.53968253968254,86,0.682539682539683
"100000",120,0.902255639097744,104,0.781954887218045,100,0.75187969924812,0,0,23,0.172932330827068,66,0.496240601503759,91,0.684210526315789
"1000000",131,0.891156462585034,117,0.795918367346939,115,0.782312925170068,0,0,13,0.0884353741496599,12,0.0816326530612245,103,0.700680272108844
">1000000",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"NO_SVLEN",652,0.815,647,0.80875,702,0.8775,0,0,0,0,0,0,456,0.57
