"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",4,0.363636363636364,2,0.181818181818182,5,0.454545454545455
"100",5,0.454545454545455,2,0.181818181818182,2,0.181818181818182
"500",5,0.5,5,0.5,5,0.5
"1000",3,0.5,4,0.666666666666667,2,0.333333333333333
"2000",2,1,1,0.5,1,0.5
"5000",3,0.333333333333333,4,0.444444444444444,3,0.333333333333333
"10000",2,0.333333333333333,2,0.333333333333333,1,0.166666666666667
"15000",12,0.75,12,0.75,11,0.6875
"100000",5,0.416666666666667,6,0.5,5,0.416666666666667
"1000000",9,0.6,8,0.533333333333333,7,0.466666666666667
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",36,0.5625,34,0.53125,34,0.53125
