"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",508,469,466,0.501604278074866,0.917322834645669,519,484,12,0.975806451612903,0.023121387283237,851,719,132,0.844888366627497,0.155111633372503
"DEL",62,83,56,0.597122302158273,0.903225806451613,100,94,6,0.94,0.06,201,145,56,0.721393034825871,0.278606965174129
"DUP",16,20,16,0.555555555555556,1,72,67,5,0.930555555555556,0.0694444444444444,106,91,15,0.858490566037736,0.141509433962264
"INV",181,104,174,0.37410071942446,0.961325966850829,120,96,1,0.989690721649485,0.00833333333333333,149,141,8,0.946308724832215,0.0536912751677852
"INS",0,6,0,0,NA,0,0,0,0,NA,NA,0,0,NA,NA
"TRA",NA,36,0,NA,NA,NA,19,0,NA,NA,NA,49,0,NA,NA
"BND",249,256,220,0.53781512605042,0.883534136546185,227,227,0,1,0,395,342,53,0.865822784810127,0.134177215189873
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
