"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR","BreakDancer_SVTYPE","BreakDancer_TP_tmp","BreakDancer_FP","BreakDancer_Precision","BreakDancer_FDR","CNVKit_SVTYPE","CNVKit_TP_tmp","CNVKit_FP","CNVKit_Precision","CNVKit_FDR","Pindel_SVTYPE","Pindel_TP_tmp","Pindel_FP","Pindel_Precision","Pindel_FDR","SvABA_SVTYPE","SvABA_TP_tmp","SvABA_FP","SvABA_Precision","SvABA_FDR"
"SUM",1834,1561,110,0.934171154997008,0.0599781897491821,1747,1353,226,0.856871437618746,0.129364625071551,1457,1377,80,0.945092656142759,0.0549073438572409,1707,0,1707,0,1,1353,167,1186,0.123429416112343,0.876570583887657,611958,611,611341,0.000998444322430517,0.998991760872478,1287,997,257,0.795055821371611,0.1996891996892
"DEL",408,384,24,0.941176470588235,0.0588235294117647,446,364,82,0.816143497757848,0.183856502242152,373,345,28,0.924932975871314,0.0750670241286863,383,0,383,0,1,503,89,414,0.176938369781312,0.823061630218688,208942,271,208669,0.00129702306882359,0.998693417311981,307,230,77,0.749185667752443,0.250814332247557
"DUP",188,171,17,0.909574468085106,0.0904255319148936,211,154,57,0.729857819905213,0.270142180094787,170,147,23,0.864705882352941,0.135294117647059,NA,NA,0,NA,NA,850,78,772,0.0917647058823529,0.908235294117647,414,99,318,0.237410071942446,0.768115942028985,162,142,15,0.904458598726115,0.0925925925925926
"INV",346,183,0,1,0,407,178,61,0.744769874476987,0.14987714987715,186,183,3,0.983870967741935,0.0161290322580645,241,0,241,0,1,NA,0,0,NA,NA,57586,163,57422,0.00283059824607103,0.997152085576355,244,169,42,0.800947867298578,0.172131147540984
"INS",239,171,68,0.715481171548117,0.284518828451883,13,10,3,0.769230769230769,0.230769230769231,NA,0,0,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,338632,66,338565,0.000194902415904037,0.999802145101467,162,0,15,0,0.0925925925925926
"TRA",NA,160,0,NA,NA,NA,156,0,NA,NA,NA,166,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,103,0,NA,NA
"BND",653,652,1,0.998468606431853,0.00153139356814701,670,647,23,0.965671641791045,0.0343283582089552,728,702,26,0.964285714285714,0.0357142857142857,NA,NA,1083,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,574,456,123,0.787564766839378,0.214285714285714
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,6384,12,6367,0.00188117259758583,0.99733709273183,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,788,0,788,0,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,295,0,295,0,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
