"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",66,70,2,0.972222222222222,0.0303030303030303,63,64,5,0.927536231884058,0.0793650793650794,65,60,16,0.789473684210526,0.246153846153846
"DEL",11,16,1,0.941176470588235,0.0909090909090909,10,15,1,0.9375,0.1,11,13,4,0.764705882352941,0.363636363636364
"DUP",8,7,1,0.875,0.125,7,6,1,0.857142857142857,0.142857142857143,9,5,4,0.555555555555556,0.444444444444444
"INV",13,7,0,1,0,16,9,2,0.818181818181818,0.125,8,8,0,1,0
"INS",3,4,0,1,0,0,0,0,0,NA,NA,0,0,NA,NA
"TRA",NA,8,0,NA,NA,NA,7,0,NA,NA,NA,10,0,NA,NA
"BND",31,36,0,1,0,30,34,1,0.971428571428571,0.0333333333333333,37,34,8,0.80952380952381,0.216216216216216
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
