"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,914,0.652857142857143,1045,0.746428571428571,948,0.677142857142857
"DEL",200,159,0.795,187,0.935,163,0.815
"DEL_TRA",200,164,0.82,186,0.93,160,0.8
"DUP",200,116,0.58,165,0.825,144,0.72
"INV",200,156,0.78,182,0.91,174,0.87
"DINS",200,113,0.565,165,0.825,158,0.79
"FINS",200,58,0.29,4,0.02,0,0
"TRA",200,148,0.74,156,0.78,149,0.745
"BND",800,565,0.70625,664,0.83,656,0.82
"INS_BND",400,257,0.6425,340,0.85,334,0.835
"TRA_BND",400,308,0.77,324,0.81,322,0.805
