"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,712,0.508571428571429,806,0.575714285714286,800,0.571428571428571
"DEL",200,110,0.55,128,0.64,130,0.65
"DEL_TRA",200,120,0.6,137,0.685,128,0.64
"DUP",200,68,0.34,143,0.715,133,0.665
"INV",200,151,0.755,160,0.8,158,0.79
"DINS",200,115,0.575,118,0.59,126,0.63
"FINS",200,41,0.205,0,0,0,0
"TRA",200,107,0.535,120,0.6,125,0.625
"BND",800,537,0.67125,571,0.71375,568,0.71
"INS_BND",400,269,0.6725,283,0.7075,282,0.705
"TRA_BND",400,268,0.67,288,0.72,286,0.715
