"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity","BreakDancer_TP","BreakDancer_Sensitivity","CNVKit_TP","CNVKit_Sensitivity","Pindel_TP","Pindel_Sensitivity","SvABA_TP","SvABA_Sensitivity"
"SUM",1400,1233,0.880714285714286,1026,0.732857142857143,1017,0.726428571428571,0,0,167,0.119285714285714,611,0.436428571428571,743,0.530714285714286
"DEL",200,193,0.965,181,0.905,171,0.855,0,0,89,0.445,137,0.685,115,0.575
"DEL_TRA",200,191,0.955,183,0.915,174,0.87,0,0,0,0,134,0.67,115,0.575
"DUP",200,171,0.855,154,0.77,147,0.735,0,0,78,0.39,99,0.495,142,0.71
"INV",200,183,0.915,178,0.89,183,0.915,0,0,0,0,175,0.875,169,0.845
"DINS",200,191,0.955,165,0.825,176,0.88,0,0,0,0,22,0.11,99,0.495
"FINS",200,144,0.72,9,0.045,0,0,0,0,0,0,44,0.22,0,0
"TRA",200,160,0.8,156,0.78,166,0.83,0,0,0,0,0,0,103,0.515
"BND",800,652,0.815,647,0.80875,702,0.8775,0,0,0,0,0,0,456,0.57
"INS_BND",400,328,0.82,328,0.82,357,0.8925,0,0,0,0,0,0,225,0.5625
"TRA_BND",400,324,0.81,319,0.7975,345,0.8625,0,0,0,0,0,0,231,0.5775
