"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",98,51,0.520408163265306,46,0.469387755102041,42,0.428571428571429
"DEL",10,4,0.4,3,0.3,3,0.3
"DEL_TRA",18,12,0.666666666666667,12,0.666666666666667,10,0.555555555555556
"DUP",13,7,0.538461538461538,6,0.461538461538462,5,0.384615384615385
"INV",13,7,0.538461538461538,9,0.692307692307692,8,0.615384615384615
"DINS",14,12,0.857142857142857,9,0.642857142857143,6,0.428571428571429
"FINS",12,1,0.0833333333333333,0,0,0,0
"TRA",18,8,0.444444444444444,7,0.388888888888889,10,0.555555555555556
"BND",64,36,0.5625,34,0.53125,34,0.53125
"INS_BND",28,18,0.642857142857143,18,0.642857142857143,13,0.464285714285714
"TRA_BND",36,18,0.5,16,0.444444444444444,21,0.583333333333333
